,4-gram
0,easy to set up
1,to set up and
2,to listen to music
3,to be able to
4,in the living room
5,love being able to
6,lights on and off
7,bought this for my
8,it all the time
9,in my living room
10,if you want to
11,the sound quality is
12,to my shopping list
13,it to play music
14,easy to use and
