,4-gram
0,add things shopping list
1,one living room one
2,one every room house
3,play music throughout house
4,add items shopping list
5,doesn take much room
6,add something shopping list
7,want one every room
8,living room dot bedroom
9,living room one bedroom
10,one upstairs one downstairs
11,easy set easy use
12,adding items shopping list
13,don know lived without
14,makes life much easier
