,4-gram
0,easy to set up
1,to set up and
2,to be able to
3,to listen to music
4,in the living room
5,love being able to
6,bought this for my
7,lights on and off
8,if you want to
9,the sound quality is
10,in my living room
11,one of the best
12,it all the time
13,in the kitchen and
14,the dot is great
