,4-gram
0,not stay connected wifi
1,don waste money buy
2,not worth money hope
3,would not recommend product
4,almost completely stopped using
5,play amazon prime music
6,could get money back
7,would not recommend anyone
8,still says can find
9,get questions answered not
10,every time ask something
11,dot completely stopped working
12,don waste time money
13,would not stay connected
14,asking questions not really
