,4-gram
0,to get it to
1,most of the time
2,connect to the internet
3,get it to work
4,to be able to
5,on the phone with
6,over and over and
7,not stay connected to
8,doesn listen very well
9,not able to use
10,died after about year
11,awful piece of equipment
12,and over and over
13,at the same time
14,of the time it
