,4-gram
0,not stay connected wifi
1,disappointing let qall promo
2,speaker terrible buy used
3,died months little use
4,confusing trying get thing
5,weeks yet figure gave
6,not loud get battery
7,device screwed especially android
8,software device screwed especially
9,trying get thing work
10,not smart good music
11,smart good music weather
12,30 answers don know
13,wasted 30 answers don
14,didn really care never
